profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision
weiss2009,matched coordinates + ASR,305.0,12,625,256,-50.00680905710239,2.262389483234412,0.16212766272541632,0.8231446626469021,0.014727674627681542,0.16212766272541632,0.8231446626469021,0.9852723253723185,,5.101560566760088e-06,111.9208142599091,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,310.0,12,625,256,-48.37779958191462,2.1548105645462066,0.18232207508662712,0.8013587400085458,0.01631918490482709,0.18232207508662712,0.8013587400085458,0.9836808150951729,,5.101560566760088e-06,112.2353016550187,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,315.0,12,625,256,-46.825554229261066,2.0539436055371234,0.20613746914974893,0.7756262937029313,0.0182362371473197,0.20613746914974893,0.7756262937029313,0.9817637628526803,,5.101560566760088e-06,106.61154640186578,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,320.0,12,625,256,-45.345327312314325,1.9592733566630163,0.234572819685471,0.7450607151827141,0.020366465131814837,0.234572819685471,0.7450607151827141,0.979633534868185,,5.101560566760088e-06,115.11834975099191,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,325.0,12,625,256,-43.93273408216474,1.8703313001349744,0.2687248636667001,0.7080449324884489,0.023230203844850972,0.2687248636667001,0.7080449324884489,0.976769796155149,,5.101560566760088e-06,116.40632970700972,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,330.0,12,625,256,-42.58371829825195,1.7866907802023526,0.3098730548332458,0.6633004382230402,0.026826506943714024,0.3098730548332458,0.6633004382230402,0.973173493056286,,5.101560566760088e-06,110.24384995503351,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,335.0,12,625,256,-41.29452314612405,1.7079627047036392,0.3598250848317442,0.6089893369467533,0.031185578221502586,0.3598250848317442,0.6089893369467533,0.9688144217784975,,5.101560566760088e-06,116.54285288602114,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,340.0,12,625,256,-40.06166511361118,1.6337917436038127,0.42055775343728646,0.5428344129494691,0.03660783361324449,0.42055775343728646,0.5428344129494691,0.9633921663867555,,5.101560566760088e-06,108.40726771508344,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,345.0,12,625,256,-38.88191048658003,1.5638529608129137,0.4938841250881636,0.46284056476024643,0.043275310151589974,0.4938841250881636,0.46284056476024643,0.9567246898484101,,5.101560566760088e-06,114.09324796684086,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,350.0,12,625,256,-37.752254168456176,1.4978488245239459,0.5808307448756684,0.36781556737925813,0.05135368774507343,0.5808307448756684,0.36781556737925813,0.9486463122549266,,5.101560566760088e-06,113.21009887894616,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,355.0,12,625,256,-36.66990056473838,1.4355065488900138,0.6791963213281079,0.2600039719039293,0.06079970676796276,0.6791963213281079,0.2600039719039293,0.9392002932320372,,5.101560566760088e-06,111.48087007692084,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,360.0,12,625,256,-35.63224630568919,1.3765757263038108,0.7815793676660827,0.1482231380412458,0.0701974942926715,0.7815793676660827,0.1482231380412458,0.9298025057073285,,5.101560566760088e-06,100.03820790699683,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,365.0,12,625,256,-34.63686460801917,1.3208262150310792,0.8706859886440266,0.05190254348078272,0.07741146787519071,0.8706859886440266,0.05190254348078272,0.9225885321248093,,5.101560566760088e-06,109.75290628080256,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,370.0,12,625,256,-33.6814911003288,1.2680462516358566,0.9071514259684276,0.003608603701926967,0.08923997032964547,0.9071514259684276,0.003608603701926967,0.9107600296703545,,5.101560566760088e-06,112.9070946581196,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,375.0,12,625,256,-32.764010957861714,1.2180407616452587,0.8859484228577544,0.028769298565610505,0.08528227857663506,0.8859484228577544,0.028769298565610505,0.9147177214233649,,5.101560566760088e-06,109.90733811608516,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,380.0,12,625,256,-31.882447210210046,1.1706298453404596,0.7924132590972073,0.13082427812318978,0.07676246277960294,0.7924132590972073,0.13082427812318978,0.923237537220397,,5.101560566760088e-06,112.5217515330296,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,385.0,12,625,256,-31.034950101376317,1.1256474185157963,0.6547143095072518,0.28124779098051433,0.06403789951223382,0.6547143095072518,0.28124779098051433,0.9359621004877662,,5.101560566760088e-06,106.19164463900961,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,390.0,12,625,256,-30.2197873953632,1.0829399905929709,0.5081137021027975,0.441186949943232,0.05069934795397052,0.5081137021027975,0.441186949943232,0.9493006520460294,,5.101560566760088e-06,115.57210525590926,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,395.0,12,625,256,-29.435335532504066,1.0423655646733319,0.3772579298749297,0.5842340365981482,0.038508033526922114,0.3772579298749297,0.5842340365981482,0.9614919664730779,,5.101560566760088e-06,109.40403663995676,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,400.0,12,625,256,-28.68007155230147,1.0037926460098585,0.27083598333592274,0.7009667338257847,0.028197282838292592,0.27083598333592274,0.7009667338257847,0.9718027171617074,,5.101560566760088e-06,112.7169644581154,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,405.0,12,625,256,-27.95256570780419,0.9670993470250486,0.18819747940261403,0.7915594608062674,0.020243059791118623,0.18819747940261403,0.7915594608062674,0.9797569402088814,,5.101560566760088e-06,113.67419093102217,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,410.0,12,625,256,-27.25147470470042,0.9321725784281484,0.12550535667505766,0.8602474319795193,0.014247211345423061,0.12550535667505766,0.8602474319795193,0.9857527886545769,,5.101560566760088e-06,106.66653118492104,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,415.0,12,625,256,-26.57553550547924,0.8989073172259336,0.07820362473616542,0.9122174028448379,0.009578972418996745,0.07820362473616542,0.9122174028448379,0.9904210275810033,,5.101560566760088e-06,105.7738271181006,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,420.0,12,625,256,-25.923559645341488,0.8672059435018423,0.042375929536192784,0.951735481128473,0.0058885893353343155,0.042375929536192784,0.951735481128473,0.9941114106646657,,5.101560566760088e-06,104.79343301500194,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,425.0,12,625,256,-25.294428012133643,0.8369776387810139,0.015065289129802048,0.9820288968757462,0.002905813994451667,0.015065289129802048,0.9820288968757462,0.9970941860055483,,5.101560566760088e-06,112.82316018315032,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,430.0,12,625,256,-24.68708604752593,0.808137839622562,0.07244336238919734,0.9259886844249157,0.0015679531858869833,0.004854800223574767,0.8588414857428002,0.998432046814113,,5.101560566760088e-06,112.7820554790087,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,435.0,12,625,256,-24.100539331040974,0.780607740801506,0.1268595896780638,0.8705722341782868,0.002568176143649459,0.01585237413643954,0.760296768148708,0.9974318238563505,,5.101560566760088e-06,111.51110971998423,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,440.0,12,625,256,-23.53384951243012,0.7543138430748975,0.15563255446536284,0.8412099980975736,0.0031574474370635874,0.024140550720434403,0.7105422185326196,0.9968425525629364,,5.101560566760088e-06,114.20539648109116,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,445.0,12,625,256,-22.986130561352947,0.7291875410817675,0.17517723253761747,0.8211954329172033,0.0036273345451791617,0.03075561273677836,0.6775556396291977,0.9963726654548208,,5.101560566760088e-06,107.40675524389371,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,450.0,12,625,256,-22.456545306392425,0.7051647474145886,0.18969428472767091,0.806276948551824,0.004028766720505117,0.036195745839901525,0.6534140350804526,0.9959712332794949,,5.101560566760088e-06,112.59550267714076,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,455.0,12,625,256,-21.94430223818065,0.6821855493298362,0.20101496669708305,0.7946499373313342,0.00433509597158277,0.04075460306196089,0.6347860403944708,0.9956649040284172,,5.101560566760088e-06,111.35344908293337,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,460.0,12,625,256,-21.44865255385641,0.6601938949443337,0.21004833637010958,0.7853275293107583,0.004624134319132112,0.04461640434448685,0.6199753390846509,0.9953758656808679,,5.101560566760088e-06,116.79839334008284,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,465.0,12,625,256,-20.968887422262192,0.6391373060989324,0.21739111775807962,0.7776951969484657,0.004913685293454706,0.04791380039103518,0.6079520308627404,0.9950863147065453,,5.101560566760088e-06,111.89874138496816,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,470.0,12,625,256,-20.504335451243254,0.6189666153672129,0.22342876083192792,0.7713922438008772,0.005178995367194905,0.05074980392357328,0.5980691399651042,0.9948210046328052,,5.101560566760088e-06,109.22805264405906,weiss2009-v1-fixed-interface-eq41
