profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,R0_y,T0_y,balance_y
weiss2009,matched coordinates + ASR,370.0,6,169,256,-33.6814911003288,1.2680462516358566,0.8509649247649302,0.014375368702903017,0.13465970653216675,0.8509649247649302,0.014375368702903017,0.8653402934678333,2.2502832930371142e-14,5.101560566760088e-06,10.238026028964669,weiss2009-v1-fixed-interface-eq41,0.8509649247650604,0.01437536870292552,0.13465970653201412,0.8509649247650604,0.01437536870292552,0.8653402934679859
weiss2009,matched coordinates + ASR,370.0,7,225,256,-33.6814911003288,1.2680462516358566,0.9065675828920217,0.0025744521794055643,0.09085796492857277,0.9065675828920217,0.0025744521794055643,0.9091420350714272,2.4316486324504893e-15,5.101560566760088e-06,12.67908540694043,weiss2009-v1-fixed-interface-eq41,0.9065675828920499,0.002574452179407996,0.09085796492854215,0.9065675828920499,0.002574452179407996,0.9091420350714579
weiss2009,matched coordinates + ASR,370.0,8,289,256,-33.6814911003288,1.2680462516358566,0.9063420943266632,0.0028173698324105464,0.09084053584092622,0.9063420943266632,0.0028173698324105464,0.9091594641590738,4.4935843240834217e-14,5.101560566760088e-06,44.75449839886278,weiss2009-v1-fixed-interface-eq41,0.906342094327155,0.0028173698324554823,0.09084053584038956,0.906342094327155,0.0028173698324554823,0.9091594641596105
weiss2009,matched coordinates + ASR,370.0,9,361,256,-33.6814911003288,1.2680462516358566,0.9056471956965746,0.0031447750264573804,0.09120802927696803,0.9056471956965746,0.0031447750264573804,0.908791970723032,1.622920547950102e-14,5.101560566760088e-06,54.56793072796427,weiss2009-v1-fixed-interface-eq41,0.9056471956966541,0.003144775026441151,0.09120802927690476,0.9056471956966541,0.003144775026441151,0.9087919707230953
weiss2009,matched coordinates + ASR,370.0,10,441,256,-33.6814911003288,1.2680462516358566,0.9116094673906633,0.0026150880199384235,0.08577544458939829,0.9116094673906633,0.0026150880199384235,0.9142245554106017,2.6968444838404437e-14,5.101560566760088e-06,77.98488765000366,weiss2009-v1-fixed-interface-eq41,0.9116094673841624,0.002615088019911455,0.08577544459592618,0.9116094673841624,0.002615088019911455,0.9142245554040739
weiss2009,matched coordinates + ASR,370.0,11,529,256,-33.6814911003288,1.2680462516358566,0.9172599044263531,0.0029681772479109242,0.07977191832573599,0.9172599044263531,0.0029681772479109242,0.920228081674264,1.358500985315647e-13,5.101560566760088e-06,94.22155963792466,weiss2009-v1-fixed-interface-eq41,0.917259904427142,0.002968177247775074,0.07977191832508292,0.917259904427142,0.002968177247775074,0.9202280816749171
weiss2009,matched coordinates + ASR,370.0,12,625,256,-33.6814911003288,1.2680462516358566,0.9071514259684276,0.003608603701926967,0.08923997032964547,0.9071514259684276,0.003608603701926967,0.9107600296703545,6.456076992455984e-14,5.101560566760088e-06,109.9561601059977,weiss2009-v1-fixed-interface-eq41,0.907151425942629,0.003608603701862406,0.08923997035550861,0.907151425942629,0.003608603701862406,0.9107600296444914
weiss2009,matched coordinates + ASR,370.0,13,729,256,-33.6814911003288,1.2680462516358566,0.9099700474061343,0.0031123975247282372,0.08691755506913747,0.9099700474061343,0.0031123975247282372,0.9130824449308625,3.869475052875604e-12,5.101560566760088e-06,132.04969235812314,weiss2009-v1-fixed-interface-eq41,0.9099700474567616,0.003112397520858762,0.08691755502237966,0.9099700474567616,0.003112397520858762,0.9130824449776204
weiss2009,matched coordinates + ASR,370.0,14,841,256,-33.6814911003288,1.2680462516358566,0.9104694905214071,0.0032425121600904486,0.08628799731850242,0.9104694905214071,0.0032425121600904486,0.9137120026814975,2.275215927119434e-10,5.101560566760088e-06,161.76281806407496,weiss2009-v1-fixed-interface-eq41,0.9104694966255661,0.003242511932568856,0.08628799144186505,0.9104694966255661,0.003242511932568856,0.913712008558135
weiss2009,matched coordinates + ASR,370.0,15,961,256,-33.6814911003288,1.2680462516358566,0.911765521737879,0.003117720586806028,0.08511675767531503,0.911765521737879,0.003117720586806028,0.914883242324685,2.1612341256915801e-10,5.101560566760088e-06,182.34129303111695,weiss2009-v1-fixed-interface-eq41,0.911765508757377,0.0031177203706826153,0.08511677087194033,0.911765508757377,0.0031177203706826153,0.9148832291280596
