frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.675,178.98057194029852,-219249.79310691755,568733.9323845454,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.34736163499474,0.19148803097924683,0.7956181216833127,0.012893847337440478,False,3281,True,c2v,,4.512011539440296e-09,6.534579410941436e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.7000000000000002,176.34850470588233,-218399.97080174298,558198.1872713143,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.41555330500705,0.18138489262559526,0.8057628083851628,0.012852298989242006,False,3281,True,c2v,,4.447518012996001e-09,7.029117306939827e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.725,173.79272927536232,-217544.26713942195,547953.0121122111,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.54765843700443,0.17188540741392944,0.8153599002024983,0.012754692383572297,False,3281,True,c2v,,4.384657049999289e-09,6.719578456024858e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.75,171.309976,-216682.8972277602,537986.4879825427,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.50766810598725,0.1629208926204793,0.8245424197919067,0.01253668758761406,False,3281,True,c2v,,4.410728717754361e-09,7.318041082304054e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.775,168.89715943661975,-215816.07473485853,528287.3639221523,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.737759893003386,0.154458784107652,0.8333410070361569,0.012200208856191108,False,3281,True,c2v,,4.2364911641857456e-09,6.671828242349495e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.8,166.55136555555555,-214944.01179663406,518845.0103257643,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.51508505899983,0.14649271412569342,0.8417424813478487,0.011764804526457895,False,3281,True,c2v,,4.062803978107406e-09,7.154554782515354e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.8250000000000002,164.26984,-214066.91892782133,509649.3761725423,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.439556878001895,0.13902941643675004,0.8497232481891397,0.011247335374110268,False,3281,True,c2v,,4.086741924684499e-09,7.185277486779751e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.85,162.0499772972973,-213185.0049364615,500690.9497317155,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.19567022800038,0.13208049834885294,0.8572621652828186,0.01065733636832844,False,3281,True,c2v,,3.997810537638085e-09,7.685286082483194e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.875,159.88931093333335,-212298.47684188263,491960.72241984284,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.501918637004565,0.12565898065934142,0.8643418765663069,0.009999142774351655,False,3281,True,c2v,,4.023471117902138e-09,7.348665250652588e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.9,157.78550421052634,-211407.539796168,483450.15551942895,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.509832545998506,0.1197791656416693,0.8709440275157931,0.00927680684253751,False,3281,True,c2v,,3.94213719202516e-09,7.728638819802294e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.925,155.7363418181818,-210512.3970091047,475151.14949874894,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.48579925399099,0.11445873018756934,0.8770407998395598,0.008500469972870794,False,3281,True,c2v,,3.893148782580573e-09,7.646406237482874e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.9500000000000002,153.73972205128203,-209613.24967659925,467056.0156994128,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.042612494988134,0.10972227243426752,0.8825841380955354,0.00769358947019716,False,3281,True,c2v,,3.816689229499921e-09,7.537230975162104e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.975,151.79364962025318,-208710.29691254167,459157.4501818273,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.734524140993017,0.10560523530008985,0.8874951481717379,0.006899616528172281,False,3281,True,c2v,,3.749477957339262e-09,8.441956619998884e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.0,149.896229,-207803.73568409673,451448.5095396927,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.190662245993735,0.10215617993577425,0.8916589788420072,0.006184841222218629,False,3281,True,c2v,,3.6588134677432454e-09,7.677158391625483e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
2.0250000000000004,148.0456582716049,-206893.76075039312,443922.5885133112,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.267264914000407,0.09943440792592918,0.8949331077609458,0.005632484313125019,False,3281,True,c2v,,3.653073977361979e-09,9.669143163553462e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
