frequency_THz,T_paper,T_computed,T_difference,R_paper,R_computed,R_difference,A_paper,A_computed,A_difference
270.860823575,0.9104276228,0.9098090074856947,-0.000618615314305293,0.0812536521,0.08157354655958089,0.00031989445958088836,0.0088074369,0.008617445954724356,-0.00018999094527564347
273.2302599949,0.9060185923,0.9059527978794382,-6.579442056187101e-05,0.0851739708,0.08514205571259839,-3.19150874016072e-05,0.0088074369,0.008905146407963471,9.770950796347128e-05
275.5971265272,0.9021088977,0.9018650842731841,-0.00024381342681589757,0.0890836653,0.08891935747203888,-0.00016430782796111876,0.0093067729,0.009215558254777045,-9.121464522295411e-05
278.0847777793,0.8976998672,0.8973105930153238,-0.00038927418467615826,0.0930039841,0.09312868485245676,0.00012470075245675505,0.0097954847,0.009560722132219479,-0.00023476256778052172
280.4516443116,0.8928021248,0.8927289083644036,-7.321643559643487e-05,0.0974130146,0.09738155900142786,-3.145559857213598e-05,0.0097954847,0.009889532634168585,9.404793416858438e-05
282.9367256761,0.8879150066,0.8876261822586735,-0.00028882434132648793,0.101811421,0.10213525860741812,0.0003238376074181232,0.0102841965,0.010238559133908365,-4.563736609163559e-05
285.306162096,0.8825285525,0.8824307683923149,-9.778410768501722e-05,0.1067091633,0.10696874417839222,0.00025958087839221544,0.0107729084,0.01060048742929287,-0.00017242097070712878
287.6730286282,0.8766533865,0.8768789821189845,0.00022559561898449765,0.1120956175,0.11210666492661055,1.104742661055258e-05,0.0112616202,0.011014352954404893,-0.0002472672455951057
290.1606798804,0.8707782205,0.8706435896149072,-0.0001346308850928013,0.1174820717,0.11786659253120572,0.00038452083120572855,0.011750332,0.011489817853887141,-0.00026051414611285954
292.5275464126,0.8644143426,0.8642967093958309,-0.00011763320416913192,0.1233466135,0.12372486718152279,0.0003782536815227916,0.0122390438,0.011978423422646323,-0.0002606203773536774
295.0151976648,0.857561753,0.857142820215072,-0.00041893278492799446,0.1297104914,0.13031447852527478,0.0006039871252747908,0.0127277556,0.012542701259653177,-0.00018505434034682237
297.382064197,0.8502204515,0.8498447104661724,-0.0003757410338276479,0.136563081,0.13703242864186693,0.00046934764186692957,0.0137051793,0.013122860891960686,-0.0005823184080393142
299.8697154492,0.8419017264,0.8416133742317944,-0.00028835216820566334,0.1439150066,0.14461388309495313,0.0006988764949531212,0.0141938911,0.013772742673252458,-0.0004211484267475415
302.2365819814,0.8335830013,0.8331953837812373,-0.0003876175187627062,0.1517450199,0.15237161333737118,0.0006265934373711757,0.0146826029,0.014433002881391599,-0.0002496000186084004
304.6060184013,0.8242762284,0.8241485560115006,-0.00012767238849942242,0.1605524568,0.16072405088263622,0.00017159408263622833,0.0151713147,0.015127393105863196,-4.3921594136804576e-05
307.0910997658,0.8144913679,0.8139231157810685,-0.0005682521189315226,0.1693598938,0.17018812452665935,0.0008282307266593569,0.0161593625,0.015888759692272214,-0.0002706028077277857
309.4605361857,0.8037184595,0.8033819930004955,-0.00033646649950447305,0.1796440903,0.17995255210658684,0.000308461806586835,0.0166480744,0.016665454892917708,1.738049291770752e-05
311.9456175502,0.7924674635,0.7914233003206057,-0.001044163179394264,0.1904063745,0.1910533935371981,0.0006470190371981044,0.017625498,0.017523306142196216,-0.00010219185780378434
314.3150539701,0.7797397078,0.7790677728845631,-0.0006719349154369336,0.2021567065,0.2025661934306392,0.0004094869306391913,0.0186029216,0.018366033684797722,-0.00023688791520227667
316.8001353346,0.7660345286,0.7649404284977261,-0.0010941001022738428,0.2148844622,0.21573482742477235,0.0008503652247723592,0.0195803453,0.01932474407750151,-0.0002556012224984895
319.1670018668,0.7508525896,0.7502260399284718,-0.0006265496715281982,0.2285896414,0.2294124262492729,0.0008227848492729228,0.0205577689,0.02036153382225525,-0.0001962350777447476
321.5364382867,0.7347038513,0.7341523381013988,-0.00055151319860125,0.2437609562,0.2443332112014326,0.0005722550014325978,0.0220345286,0.02151445069716862,-0.0005200779028313798
324.0215196512,0.7165896414,0.7156755803209915,-0.000914061079008488,0.2603984064,0.2614645614591552,0.0010661550591551938,0.023500664,0.022859858219853257,-0.0006408057801467436
326.3909560711,0.6970199203,0.6963167637728567,-0.0007031565271433671,0.2785126162,0.27935905733780586,0.0008464411378058534,0.0249667995,0.024324178889337467,-0.0006426206106625344
328.8760374356,0.6754741036,0.6740012344220646,-0.001472869177935432,0.2980929615,0.29993124140340705,0.0018382799034070696,0.0269216467,0.0260675241745284,-0.0008541225254715991
331.2454738555,0.6514953519,0.6506150171206084,-0.0008803347793915339,0.3201168659,0.3214605350762653,0.0013436691762653274,0.0288871182,0.027924447803126196,-0.0009626703968738035
333.6123403878,0.6255511288,0.6249765402389735,-0.0005745885610264345,0.3436175299,0.3450387626455669,0.0014212327455668805,0.0308419655,0.02998469711545959,-0.0008572683845404078
336.0999916399,0.5971633466,0.5953216376927433,-0.0018417089072567672,0.3700504648,0.37228110276896026,0.0022306379689602807,0.0332855246,0.03239725953829642,-0.0008882650617035789
338.4668581722,0.5658432935,0.5642819974451881,-0.0015612960548118116,0.3989269588,0.40076443765617026,0.0018374788561702493,0.0357290837,0.03495356489864154,-0.0007755188013584546
340.9545094243,0.5310810093,0.5284388543699221,-0.0026421549300779112,0.4307463479,0.4336145428859935,0.0028681949859934996,0.0386719788,0.03794660274408446,-0.0007253760559155428
343.3213759566,0.4933970784,0.4910860806647046,-0.002310997735295417,0.4650092961,0.467836769443169,0.0028274733431689625,0.0416042497,0.04107714989212641,-0.0005270998078735906
345.8090272087,0.4517928287,0.4482386257229964,-0.0035542029770035954,0.5031819389,0.5071011503926334,0.003919211492633412,0.0450358566,0.04466022388437024,-0.0003756327156297576
348.1758937409,0.4072456839,0.4039827567801844,-0.003262927119815573,0.5442974768,0.5476276164508256,0.0033301396508256254,0.0489455511,0.04838962676899,-0.0005559243310099965
350.5453301609,0.3587888446,0.35640956265534307,-0.002379281944656919,0.5883559097,0.5911369767409649,0.002781067040964924,0.0528658699,0.05245346060369205,-0.00041240929630795287
353.0304115253,0.3073891102,0.30345430065281487,-0.003934809547185114,0.6353466135,0.6395399834977646,0.004193369997764651,0.0572749004,0.05700571584942049,-0.00026918455057951124
355.3972780576,0.2540451527,0.25088931602085374,-0.003155836679146262,0.6842921647,0.6875969233163736,0.003304758616373582,0.0621620186,0.0615137606627727,-0.000648257937227302
357.8849293097,0.1997025232,0.19476711202295943,-0.004935411177040577,0.7342151394,0.7389168934086292,0.004701754008629155,0.0665710491,0.06631599456841136,-0.0002550545315886388
360.251795842,0.1458592297,0.14247477672960576,-0.003384452970394247,0.7831606906,0.7867191200385463,0.003558429438546229,0.0714687915,0.07080610323184797,-0.0006626882681520369
362.7394470941,0.095936255,0.09153295297937955,-0.004403302020620448,0.828685259,0.8332715631409989,0.00458630414099892,0.0753784861,0.07519548387962152,-0.0001830022203784809
365.108883514,0.0533545817,0.05016559800751651,-0.0031889836924834936,0.8673572377,0.8711387893046999,0.003781551604699951,0.0792988048,0.07869561268778359,-0.0006031921122164052
