profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,R0_y,T0_y,balance_y,device,torch_version
weiss2009,matched coordinates + ASR,338.4668581722,12,625,256,-40.433904211689516,1.6560702862085726,0.400679550480586,0.5645116783189195,0.034808771200494526,0.400679550480586,0.5645116783189195,0.9651912287995055,1.0176304243714185e-12,5.101560566760088e-06,2.4562012701062486,weiss2009-v1-fixed-interface-eq41,0.40067955047969434,0.5645116783199371,0.03480877120036863,0.40067955047969434,0.5645116783199371,0.9651912287996314,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,340.9545094243,12,625,256,-39.83244177614299,1.620122935002221,0.43352898748730334,0.5286829996321601,0.03778801288053646,0.43352898748730334,0.5286829996321601,0.9622119871194634,5.743294728688397e-12,5.101560566760088e-06,2.4265355920651928,weiss2009-v1-fixed-interface-eq41,0.4335289874897371,0.5286829996264168,0.037788012883846034,0.4335289874897371,0.5286829996264168,0.962211987116154,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,343.3213759566,12,625,256,-39.272252387687026,1.5868801691193748,0.4677567770988927,0.49133921909867706,0.04090400380243031,0.4677567770988927,0.49133921909867706,0.9590959961975698,1.1517453657461374e-12,5.101560566760088e-06,2.396317377919331,weiss2009-v1-fixed-interface-eq41,0.4677567771026636,0.4913392190975253,0.04090400379981107,0.4677567771026636,0.4913392190975253,0.9590959962001889,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,345.8090272087,12,625,256,-38.69580451996456,1.5529137646591094,0.5070377418667623,0.44849211737856715,0.04447014075467054,0.5070377418667623,0.44849211737856715,0.9555298592453294,1.6820600468037128e-11,5.101560566760088e-06,2.402608556090854,weiss2009-v1-fixed-interface-eq41,0.5070377418636048,0.44849211736174655,0.044470140774648614,0.5070377418636048,0.44849211736174655,0.9555298592253514,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,348.1758937409,12,625,256,-38.1587531014873,1.5214903870244547,0.5475886383008295,0.4042080544090552,0.048203307290115294,0.5475886383008295,0.4042080544090552,0.9517966927098847,2.493616424459333e-12,5.101560566760088e-06,2.41787317302078,weiss2009-v1-fixed-interface-eq41,0.5475886382880053,0.40420805441154883,0.04820330730044586,0.5475886382880053,0.40420805441154883,0.9517966926995541,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,350.5453301609,12,625,256,-37.63195627188934,1.4908761669382806,0.591079039109914,0.3565822687951826,0.05233869209490338,0.591079039109914,0.3565822687951826,0.9476613079050966,1.4820922267233527e-12,5.101560566760088e-06,2.404423837084323,weiss2009-v1-fixed-interface-eq41,0.5910790391184457,0.35658226879370053,0.052338692087853744,0.5910790391184457,0.35658226879370053,0.9476613079121463,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,353.0304115253,12,625,256,-37.0907825894381,1.4596436218572977,0.6393858422218347,0.3036104133723459,0.0570037444058194,0.6393858422218347,0.3036104133723459,0.9429962555941807,4.416134125051485e-12,5.101560566760088e-06,2.4192125140689313,weiss2009-v1-fixed-interface-eq41,0.6393858422139633,0.30361041337676203,0.05700374440927464,0.6393858422139633,0.30361041337676203,0.9429962555907254,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,355.3972780576,12,625,256,-36.58585141268392,1.4307025546282146,0.6873409759558943,0.2510934581998362,0.06156556584426953,0.6873409759558943,0.2510934581998362,0.9384344341557305,1.1339762462370118e-11,5.101560566760088e-06,2.4072898130398244,weiss2009-v1-fixed-interface-eq41,0.6873409759324164,0.25109345821117596,0.061565565856407656,0.6873409759324164,0.25109345821117596,0.9384344341435924,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,357.8849293097,12,625,256,-36.06589330698109,1.4011031782216226,0.7386465588777299,0.19504269647384326,0.06631074464842684,0.7386465588777299,0.19504269647384326,0.9336892553515732,1.2649936653730265e-11,5.101560566760088e-06,2.418132053106092,weiss2009-v1-fixed-interface-eq41,0.7386465588702495,0.1950426964864932,0.06631074464325726,0.7386465588702495,0.1950426964864932,0.9336892553567427,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,360.251795842,12,625,256,-35.581128505501525,1.3736940020338668,0.7865715160540724,0.14278576293540865,0.07064272101051897,0.7865715160540724,0.14278576293540865,0.9293572789894811,8.519518424066064e-12,5.101560566760088e-06,2.4223126450087875,weiss2009-v1-fixed-interface-eq41,0.7865715160567873,0.14278576294392817,0.07064272099928451,0.7865715160567873,0.14278576294392817,0.9293572790007155,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,362.7394470941,12,625,256,-35.081799921047626,1.3456510810245867,0.8335236523369698,0.09180565728324763,0.07467069037978258,0.8335236523369698,0.09180565728324763,0.9253293096202174,3.0576652321201436e-12,5.101560566760088e-06,2.4130210790317506,weiss2009-v1-fixed-interface-eq41,0.8335236523006831,0.09180565728018997,0.07467069041912688,0.8335236523006831,0.09180565728018997,0.9253293095808731,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,365.108883514,12,625,256,-34.61564151771623,1.3196459485513177,0.8722951123100039,0.05018356557886961,0.0775213221111265,0.8722951123100039,0.05018356557886961,0.9224786778888735,2.989275493803234e-12,5.101560566760088e-06,2.4123328200075775,weiss2009-v1-fixed-interface-eq41,0.872295112322972,0.050183565575880336,0.0775213221011477,0.872295112322972,0.050183565575880336,0.9224786778988523,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,367.4757500463,12,625,256,-34.15894595289467,1.2943335812932155,0.895427405490067,0.019023012889083268,0.08554958162084968,0.895427405490067,0.019023012889083268,0.9144504183791503,4.143452941862691e-12,5.101560566760088e-06,2.4126112499507144,weiss2009-v1-fixed-interface-eq41,0.8954274054691164,0.019023012884939815,0.08554958164594381,0.8954274054691164,0.019023012884939815,0.9144504183540562,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,369.9608314108,12,625,256,-33.688825298114814,1.268448688450062,0.9069930895003447,0.003729184144267454,0.0892777263553878,0.9069930895003447,0.003729184144267454,0.9107222736446122,8.481882730893009e-13,5.101560566760088e-06,2.4014042939525098,weiss2009-v1-fixed-interface-eq41,0.9069930894755743,0.003729184145115642,0.08927772637931003,0.9069930894755743,0.003729184145115642,0.91072227362069,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,372.3302678307,12,625,256,-33.24930466573782,1.2444070802396854,0.9073115222396898,0.005104451077393448,0.08758402668291675,0.9073115222396898,0.005104451077393448,0.9124159733170832,5.918711701302648e-13,5.101560566760088e-06,2.4301010030321777,weiss2009-v1-fixed-interface-eq41,0.9073115222459371,0.005104451077985319,0.08758402667607754,0.9073115222459371,0.005104451077985319,0.9124159733239224,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,374.8153491951,12,625,256,-32.7972431846638,1.2198402701967492,0.888133898846832,0.02637998457938548,0.0854861165737825,0.888133898846832,0.02637998457938548,0.9145138834262175,2.6280401466127756e-12,5.101560566760088e-06,2.4674584069289267,weiss2009-v1-fixed-interface-eq41,0.8881338988422561,0.02637998458201352,0.08548611657573035,0.8881338988422561,0.02637998458201352,0.9145138834242696,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,377.1847856151,12,625,256,-32.37449902879465,1.1970151479567872,0.8527029477536948,0.06503080406368057,0.08226624818262461,0.8527029477536948,0.06503080406368057,0.9177337518173754,3.4053315722815114e-13,5.101560566760088e-06,2.429132191929966,weiss2009-v1-fixed-interface-eq41,0.8527029477481715,0.06503080406334004,0.0822662481884885,0.8527029477481715,0.06503080406334004,0.9177337518115115,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,379.5516521473,12,625,256,-31.96007967834379,1.1747796747711217,0.8031264188518258,0.11912318333558004,0.07775039781259417,0.8031264188518258,0.11912318333558004,0.9222496021874058,9.508532849977769e-12,5.101560566760088e-06,2.4319017799571157,weiss2009-v1-fixed-interface-eq41,0.8031264188590439,0.11912318332607151,0.07775039781488459,0.8031264188590439,0.11912318332607151,0.9222496021851154,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,382.0393033994,12,625,256,-31.53277345506286,1.1519989991924102,0.7395428577922267,0.18859995285835546,0.07185718934941782,0.7395428577922267,0.18859995285835546,0.9281428106505822,5.076494780098528e-14,5.101560566760088e-06,2.4110565149458125,weiss2009-v1-fixed-interface-eq41,0.7395428578174603,0.1885999528583047,0.07185718932423499,0.7395428578174603,0.1885999528583047,0.928142810675765,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,384.4061699317,12,625,256,-31.133879110344317,1.130867864772247,0.6721863647078781,0.2621760744380434,0.06563756085407851,0.6721863647078781,0.2621760744380434,0.9343624391459215,2.2442048219772914e-12,5.101560566760088e-06,2.40853922709357,weiss2009-v1-fixed-interface-eq41,0.6721863646970971,0.2621760744402876,0.06563756086261524,0.6721863646970971,0.2621760744402876,0.9343624391373848,cuda,2.6.0+cu124
