wavelength_nm,order,slices,grid,epsilon_gold_real,epsilon_gold_imag,reflectance,transmittance_far,absorptance_total,motheye_absorptance,substrate_absorptance,power_into_substrate,passivity_warning,reduced_dimension,full_dimension,symmetry_reduction,symmetry_irrep,runtime_seconds
400.0,3,48,128,-1.0611633694991678,4.9206873818569425,0.00038915729308864835,0.0,0.9996108427069114,0.9723176749929949,0.02729316771391649,0.02729316771391649,False,13,98,D6-E1-source-row,E1,3.462280481006019
550.0,3,48,128,-5.371371338856619,2.3581635829859637,0.050142172700660285,0.0,0.9498578272993398,0.8340467676226248,0.11581105967671504,0.11581105967671504,False,13,98,D6-E1-source-row,E1,3.1115782860142644
700.0,3,48,128,-13.754263491271207,1.9104862668338753,0.4876516985569912,0.0,0.5123483014430088,0.3973762773937451,0.11497202404926371,0.11497202404926371,False,13,98,D6-E1-source-row,E1,3.112851206009509
400.0,5,48,128,-1.0611633694991678,4.9206873818569425,1.928872511490123e-06,0.0,0.9999980711274885,0.9723760137271408,0.027622057400347733,0.027622057400347733,False,31,242,D6-E1-source-row,E1,6.066700027004117
550.0,5,48,128,-5.371371338856619,2.3581635829859637,0.036182288235321304,0.0,0.9638177117646787,0.8407356363445402,0.12308207542013845,0.12308207542013845,False,31,242,D6-E1-source-row,E1,5.906937755993567
700.0,5,48,128,-13.754263491271207,1.9104862668338753,0.4985575955569725,0.0,0.5014424044430275,0.3914979913468576,0.10994441309616985,0.10994441309616985,False,31,242,D6-E1-source-row,E1,5.944981030013878
400.0,6,48,128,-1.0611633694991678,4.9206873818569425,4.061656200276179e-05,0.0,0.9999593834379973,0.9720950774631856,0.027864305974811737,0.027864305974811737,False,43,338,D6-E1-source-row,E1,7.476169397996273
550.0,6,48,128,-5.371371338856619,2.3581635829859637,0.03586378276037341,0.0,0.9641362172396266,0.8409191109264931,0.12321710631313348,0.12321710631313348,False,43,338,D6-E1-source-row,E1,7.506775318004657
700.0,6,48,128,-13.754263491271207,1.9104862668338753,0.5002026543191114,0.0,0.4997973456808886,0.3904296248754065,0.10936772080548211,0.10936772080548211,False,43,338,D6-E1-source-row,E1,7.47018606599886
400.0,7,48,128,-1.0611633694991678,4.9206873818569425,7.175454209255936e-05,0.0,0.9999282454579075,0.9719607720719431,0.0279674733859644,0.0279674733859644,False,57,450,D6-E1-source-row,E1,9.713143472996308
550.0,7,48,128,-5.371371338856619,2.3581635829859637,0.03434160132989219,0.0,0.9656583986701078,0.8418519738519596,0.12380642481814816,0.12380642481814816,False,57,450,D6-E1-source-row,E1,9.910863172990503
