study,method,factorization_rules,frequency_GHz,wavelength_mm,order_x,order_y,harmonics,modal_dimension,grid_x,grid_y,quadrature_grid,asr_G,cascade,dtype,device,propagating_orders_air,R00,T00,R_total,T_total,delta_R,delta_T,A_total,power_balance,passivity_violation,cond_T,elapsed_s,numerics_revision
fig8,ASR-FR,True,8.24,36.382579854368934,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.56591287951296,0.4293952667903192,0.56591287951296,0.4293952667903192,0.0,0.0,0.004691853696720871,0.9953081463032791,0.0,,0.16112273395992815,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,8.4,35.68957833333333,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.6404987546747574,0.3465981889428801,0.6404987546747574,0.3465981889428801,0.0,0.0,0.012903056382362554,0.9870969436176374,0.0,,0.16021762206219137,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,8.5,35.269700941176474,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.691691929230494,0.2922225039005032,0.691691929230494,0.2922225039005032,0.0,0.0,0.016085566869002754,0.9839144331309972,0.0,,0.15253958688117564,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,8.56,35.02248341121495,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.7241582947564063,0.25825520397558827,0.7241582947564063,0.25825520397558827,0.0,0.0,0.017586501268005428,0.9824134987319946,0.0,,0.16275218687951565,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,8.719999999999999,34.37986903669725,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.8136414690836022,0.16486746923463985,0.8136414690836022,0.16486746923463985,0.0,0.0,0.02149106168175785,0.9785089383182421,0.0,,0.16096917307004333,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,8.879999999999999,33.76041193693694,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.8968899356620658,0.07656864523585932,0.8968899356620658,0.07656864523585932,0.0,0.0,0.02654141910207497,0.973458580897925,0.0,,0.1712592721451074,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,9.0,33.310273111111115,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.9426397369954573,0.025641403036010358,0.9426397369954573,0.025641403036010358,0.0,0.0,0.0317188599685323,0.9682811400314677,0.0,,0.15479121799580753,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,9.04,33.1628825221239,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.9524379709761712,0.013880290164730351,0.9524379709761712,0.013880290164730351,0.0,0.0,0.03368173885909842,0.9663182611409016,0.0,,0.17384778801351786,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,9.2,32.58613673913044,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.9537894541060998,0.005390602312546673,0.9537894541060998,0.005390602312546673,0.0,0.0,0.040819943581353546,0.9591800564186465,0.0,,0.1670829150825739,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,9.36,32.02910876068376,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.8812717604448669,0.07673822618690533,0.8812717604448669,0.07673822618690533,0.0,0.0,0.04199001336822783,0.9580099866317722,0.0,,0.16518836398608983,fig8-v2-q-modes-separable-quadrature
